*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=wifi_sensor
*Date=09:05:59
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
105;;;43.1672;-1.71347;0;Bottom;Copper Fill70
106;;;14.0114;-30.5354;0;Bottom;Via24
107;;;43.1672;-7.04747;0;Bottom;Copper Fill9
108;;;13.3604;-34.3906;0;Bottom;Copper Fill91
109;;;59.1057;-15.3914;0;Bottom;Copper Fill22
110;;;48.2472;-12.2291;0;Bottom;Copper Fill81
111;;;54.6513;-21.6455;0;Bottom;Via32
112;;;45.7746;-14.0348;0;Bottom;Via3
113;;;9.4488;-25.5006;0;Bottom;Copper Fill89
114;;;64.7572;-14.4135;0;Bottom;Copper Fill25
115;;;46.3803;-40.7406;0;Bottom;Copper Fill41
116;;;33.0613;-31.8054;0;Bottom;Via14
117;;;59.6772;-22.7447;0;Bottom;Copper Fill99
118;;;14.6304;-30.5806;0;Bottom;Copper Fill98
119;;;14.6304;-30.5806;0;Bottom;Copper Fill36
120;;;5.12139;-43.2354;0;Bottom;Via28
121;;;57.4277;-41.815;-90;Bottom;TXT1
122;;THT;36.9567;-25.4554;90;Bottom;U1
123;;;64.7572;-8.11427;0;Bottom;Copper Fill12
124;;;43.8403;-11.5306;0;Bottom;Copper Fill74
125;;;13.9573;-31.2791;0;Bottom;Copper Fill96
126;;;48.9203;-7.72057;0;Bottom;Copper Fill15
127;;;36.8713;-44.5054;0;Bottom;Via21
128;;;64.8113;-21.6455;0;Bottom;Via36
129;;THT;36.9984;-43.4894;90;Bottom;J3
130;;;32.3087;-31.8506;0;Bottom;Copper Fill107
131;;;11.9888;-28.0406;0;Bottom;Copper Fill34
132;;;31.0387;-28.0406;0;Bottom;Copper Fill104
133;;;43.2213;-7.67551;0;Bottom;Via8
134;;;10.2014;-33.0754;-90;Top;-V
135;;;13.9573;-26.0975;0;Bottom;Copper Fill92
136;;;10.2014;-39.4254;0;Top;Pad7
137;;;56.8197;-20.3063;0;Bottom;Copper Fill68
138;;;38.5571;-32.0665;0;Bottom;Copper Fill52
139;;;43.1672;-12.2291;0;Bottom;Copper Fill10
140;;;57.1913;-29.2654;0;Bottom;Via34
141;;;47.5487;-7.72057;0;Bottom;Copper Fill79
142;;;6.39139;-25.4555;0;Bottom;Via30
143;;;48.2472;-7.04747;0;Bottom;Copper Fill14
144;;;50.8414;-36.8854;0;Top;Pad3
145;;;62.2172;-45.6555;0;Bottom;Copper Fill45
146;;;62.2172;-45.6555;0;Bottom;Copper Fill113
147;;THT;48.4417;-43.4988;90;Bottom;J2
148;;;15.9004;-43.2806;0;Bottom;Copper Fill24
149;1k;2512 [SMD];43.2215;-21.9055;90;Top;R1
150;;;13.2588;-30.5806;0;Bottom;Copper Fill97
151;;;19.7445;-18.7216;0;Bottom;TXT2
152;;;26.4032;-51.9039;0;Bottom;Copper Fill71
153;;;65.6843;-9.04137;0;Bottom;Copper Fill13
154;;;3.85139;-33.0754;-90;Top;+V
155;;;45.0087;-40.7406;0;Bottom;Copper Fill108
156;;;34.3314;-36.8854;0;Top;Pad6
157;;;35.5472;-22.7447;0;Bottom;Copper Fill16
158;1k;2512 [SMD];50.8415;-21.9055;90;Top;R3
159;;;43.8403;-7.72057;0;Bottom;Copper Fill73
160;;;12.6873;-28.7391;0;Bottom;Copper Fill101
161;;;44.1451;-21.9065;0;Bottom;Copper Fill60
162;;;65.6843;-15.3406;0;Bottom;Copper Fill26
163;;;63.3221;-44.5506;0;Bottom;Copper Fill115
164;;5 mm [THT];64.8245;-9.64575;0;Bottom;LED1
165;;;59.6772;-20.6619;0;Bottom;Copper Fill38
166;;;48.3013;-11.4855;0;Bottom;Via10
167;1k;2512 [SMD];29.2644;-40.4448;90;Top;R5
168;;;6.39139;-34.3454;0;Bottom;Via7
169;;;59.6772;-22.7447;0;Bottom;Copper Fill37
170;;;14.5288;-43.2806;0;Bottom;Copper Fill23
171;;;50.8135;-40.8953;-90;Bottom;TXT1
