*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=wifi_sensor
*Date=15:58:11
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
107;;;57.1913;-29.2654;0;Bottom;Via34
108;;;29.1973;-10.8575;0;Bottom;Copper Fill28
109;;;43.2213;-27.9954;0;Bottom;Via37
110;;;63.3222;-44.5506;0;Bottom;Copper Fill144
111;;;58.4614;-40.6954;0;Bottom;Via67
112;;;15.1892;-26.7579;0;Bottom;Copper Fill74
113;;;58.4073;-16.0645;0;Bottom;Copper Fill30
114;;;45.7614;-36.8854;0;Top;Pad4
115;;;44.4914;-15.2954;0;Bottom;Via75
116;;;5.1214;-16.5654;0;Bottom;Via59
117;;;18.8468;-5.23138;0;Bottom;Copper Fill35
118;10k;2512 [SMD];47.0315;-21.9055;90;Top;R2
119;;;15.2814;-43.2354;0;Bottom;Via27
120;;;64.7573;-8.11428;0;Bottom;Copper Fill25
121;;;60.9854;-25.4625;0;Bottom;Copper Fill6
122;;;39.4246;-17.8448;0;Bottom;Via2
123;;;26.4033;-51.9039;0;Bottom;Copper Fill101
124;;;46.3804;-40.7406;0;Bottom;Copper Fill57
125;;;30.7086;-26.7579;0;Bottom;Copper Fill17
126;;;24.1714;-17.8354;0;Bottom;Via46
127;;THT;59.8717;-43.4988;90;Bottom;J1
128;;;43.1673;-8.41908;0;Bottom;Copper Fill102
129;;;34.5186;-9.58748;0;Bottom;Copper Fill94
130;;;5.51058;-49.9531;-90;Bottom;TXT1
131;;;15.9004;-43.2806;0;Bottom;Copper Fill55
132;;;7.6614;-17.8354;0;Bottom;Via80
133;;;12.9703;-2.62747;-90;Bottom;TXT1
134;;;27.9814;-40.6954;0;Bottom;Via39
135;;THT;20.2344;-6.15141;-90;Bottom;J7
136;;;49.5714;-16.5654;0;Bottom;Via72
137;;;31.7754;-26.0975;0;Bottom;Copper Fill83
138;;;50.5714;-27.9263;0;Bottom;Copper Fill76
139;;;58.4836;-15.322;0;Bottom;Via38
140;;;46.9773;-32.5491;0;Bottom;Copper Fill58
141;;;65.6844;-15.3406;0;Bottom;Copper Fill121
142;;;44.1452;-21.9065;0;Bottom;Copper Fill85
143;;;14.0114;-30.5354;0;Bottom;Via24
144;;;60.8076;-17.6393;0;Bottom;Copper Fill89
145;;;14.5288;-43.2806;0;Bottom;Copper Fill54
146;;;12.7414;-27.9954;0;Bottom;Via4
147;;;62.2554;-44.7919;0;Bottom;Copper Fill64
148;;;13.3604;-34.3906;0;Bottom;Copper Fill125
149;;;63.3222;-44.5506;0;Bottom;Copper Fill63
150;;;6.3914;-12.7554;0;Top;Pad11
151;;;13.2588;-30.5806;0;Bottom;Copper Fill127
152;;;9.4488;-25.5006;0;Bottom;Copper Fill40
153;;;16.6624;-5.23138;0;Bottom;Copper Fill34
154;;;50.8414;-12.7554;0;Bottom;Via51
155;;;27.9814;-8.94541;0;Bottom;Via60
156;;;29.8704;-11.5306;0;Bottom;Copper Fill111
